"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00026627","1942-08","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0","5,6","20","3,6","11","3,6","0","3,6","","","0",",6","0","5,6","0","5,6","0","3,6","3","3,6","0","3,6","","","","","19420821","+,5,6","","","19420831","+,,6","","","19420810",",3,6","19420802",",3,6","4.4","5,6,21,+","","","0",",,6,31,+","15.5","3,,6,10,","22.2","3,6,02,","336.2","6","156.1","3,6","102.2","3,,,6","0",",,,6","12.34","5,6","15.73","3,,,6","8.96","5,,,6","","","","","","","","","","","",""
"USW00026627","1942-10","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0","2,6","10",",6","5",",6","0",",6","26","3,6","3",",6","1","2,6","26","2,6","19",",6","0",",6","0",",6","","","","","19421013",",2,6","19421022","+,3,6","19421010",",,6","","","19421010",",,6","19421001",",,6","-17.8","2,6,13,","457","3,,6,22,+","356",",,6,10,","22.1",",,6,10,","15.6",",6,01,","","","631.4",",6","42.7",",,,6","466",",,,6","-3.62","2,6","-0.24",",,,6","-7.01","2,,,6","","","","","","","","","","","",""
"USW00026627","1942-11","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0","2,6","5",",6","1",",6","0",",6","29","1,6","2",",6","13","2,6","28","2,6","29",",6","0",",6","0",",6","","","","","19421129",",2,6","19421116","+,1,6","19421113","+,,6","","","19421113",",,6","19421117",",,6","-33.3","2,6,29,","229","1,,6,16,+","25",",,6,13,+","2.5",",,6,13,","0.6",",6,17,","","","916.3",",6","4.9",",,,6","73",",,,6","-14.09","2,6","-10.03",",,,6","-18.15","2,,,6","","","","","","","","","","","",""
"USW00026627","1942-12","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","","","3",",6","0",",6","0",",6","27","4,6","1",",6","","","","","","","","","","","","","","","","","19421227","+,4,6","19421209",",,6","","","19421209",",,6","","","","","229","4,,6,27,+","25",",,6,09,","1.0",",,6,09,","","","","","","","1.8",",,,6","38",",,,6","","","","","","","","","","","","","","","","","",""
"USW00026627","1943-02","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","","","8",",6","0",",6","0",",6","28",",6","0",",6","","","","","","","","","","","","","","","","","19430228","+,,6","19430217",",,6","","","19430227",",,6","","","","","229",",,6,28,+","15",",,6,17,","2.0",",,6,27,","","","","","","","8.2",",,,6","47",",,,6","","","","","","","","","","","","","","","","","",""
"USW00026627","1943-03","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0","5,6","10",",6","1",",6","0",",6","31",",6","2",",6","13","2,6","29","2,6","21","4,6","0","4,6","0","4,6","","","","","19430322",",2,6","19430311","+,,6","19430310",",,6","","","19430315",",,6","19430305",",4,6","-33.3","2,6,22,","279",",,6,11,+","76",",,6,10,","2.5",",,6,15,","4.4","4,6,05,","","","772.2","4,6","10.0",",,,6","148",",,,6","-10.83","5,6","-6.03","4,,,6","-15.63","2,,,6","","","","","","","","","","","",""
"USW00026627","1943-04","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0","5,6","1",",6","0",",6","0",",6","30",",6","0","1,6","7","4,6","25","4,6","9","1,6","0","1,6","0","1,6","","","","","19430405",",4,6","19430408","+,,6","19430416",",1,6","","","19430416",",,6","19430428",",1,6","-35.6","4,6,05,","254",",,6,08,+","5","1,,6,16,","0.5",",,6,16,","9.4","1,6,28,","","","634.9","1,6","0.5",",,,6","5","1,,,6","-6.73","5,6","-1.09","1,,,6","-12.37","4,,,6","","","","","","","","","","","",""
"USW00026627","1943-05","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0",",6","12",",6","3",",6","0",",6","2",",6","","","0",",6","16",",6","0",",6","0",",6","0",",6","","","","","19430517","+,,6","19430502","+,,6","","","","","19430509",",,6","19430530",",,6","-3.3",",6,17,+","25",",,6,02,+","","","6.6",",,6,09,","13.3",",6,30,","","","429.7",",6","22.7",",,,6","","","4.47",",6","8.51",",,,6","0.43",",,,6","","","","","","","","","","","",""
"USW00026627","1943-06","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0",",6","7",",6","4",",6","0",",6","","","0",",6","0",",6","2",",6","0",",6","2",",6","0",",6","","","","","19430606",",,6","","","19430630","+,,6","","","19430604",",,6","19430623",",,6","-2.2",",6,06,","","","0",",,6,30,+","7.6",",,6,04,","25.0",",6,23,","","","224.7",",6","22.6",",,,6","0",",,,6","10.84",",6","15.03",",,,6","6.65",",,,6","","","","","","","","","","","",""
"USW00026627","1943-07","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0",",6","14",",6","10",",6","1",",6","","","","","0",",6","0",",6","0",",6","1",",6","0",",6","","","","","19430705",",,6","","","","","","","19430720",",,6","19430723",",,6","3.3",",6,05,","","","","","25.4",",,6,20,","21.1",",6,23,","187.9","","187.9",",6","112.7",",,,6","","","12.27",",6","15.56",",,,6","8.98",",,,6","","","","","","","","","","","",""
"USW00026627","1944-06","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","1.7",",6","11",",6","6",",6","0",",6","0",",6","0",",6","0",",6","5",",6","0",",6","5",",6","0",",6","","","","","19440604",",,6","19440630","+,,6","19440630","+,,6","","","19440618",",,6","19440621",",,6","-0.6",",6,04,","0",",,6,30,+","0",",,6,30,+","12.2",",,6,18,","26.7",",6,21,","","","261.4",",6","30.7",",,,6","0",",,,6","9.68",",6","13.27",",,,6","6.08",",,,6","","","","","","","","","","","",""
"USW00026627","1944-07","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0",",6","14",",6","8",",6","0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","4",",6","0",",6","","","","","19440706","+,,6","19440731","+,,6","19440731","+,,6","","","19440712",",,6","19440723",",,6","6.1",",6,06,+","0",",,6,31,+","0",",,6,31,+","19.8",",,6,12,","26.1",",6,23,","152.1","6","152.1",",6","86.1",",,,6","0",",,,6","13.43",",6","17.17",",,,6","9.68",",,,6","","","","","","","","","","","",""
"USW00026627","1944-08","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0",",6","20",",6","12",",6","0",",6","0",",6","0",",6","0",",6","1",",6","0",",6","0",",6","0",",6","","","","","19440809",",,6","19440831","+,,6","19440831",",,6","","","19440830",",,6","19440820",",,6","0.0",",6,09,","0",",,6,31,+","0",",T,6,31,","20.3",",,6,30,","18.3",",6,20,","372.9","6","220.8",",6","133.4",",,,6","0",",T,,6","11.21",",6","14.32",",,,6","8.10",",,,6","","","","","","","","","","","",""
"USW00026627","1944-09","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0",",6","23",",6","12",",6","0",",6","0",",6","0",",6","0",",6","5",",6","0",",6","0",",6","0",",6","","","","","19440920",",,6","19440930","+,,6","19440919","+,,6","","","19440902",",,6","19440917","+,,6","-5.6",",6,20,","0",",,6,30,+","0",",T,6,19,+","19.6",",,6,02,","12.2",",6,17,+","758.9","6","386.0",",6","97.8",",,,6","0",",T,,6","5.47",",6","8.25",",,,6","2.68",",,,6","","","","","","","","","","","",""
"USW00026627","1944-10","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0","1,6","13",",6","7",",6","0",",6","2","1,6","1",",6","0","1,6","24","1,6","7","1,6","0","1,6","0","1,6","","","","","19441027",",1,6","19441011","+,1,6","19441010",",,6","","","19441018",",,6","19441003","+,1,6","-15.0","1,6,27,","25","1,,6,11,+","25",",,6,10,","15.0",",,6,18,","7.2","1,6,03,+","1324.7","6","565.8","1,6","54.0",",,,6","35",",,,6","-0.53","1,6","2.09","1,,,6","-3.15","1,,,6","","","","","","","","","","","",""
"USW00026627","1944-11","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0",",6","3",",6","0",",6","0",",6","18",",","","","8",",6","30",",6","30",",6","0",",6","0",",6","","","","","19441129",",,6","19441112",",,6","","","","","19441111",",,6","19441118",",,6","-27.2",",6,29,","76",",,6,12,","","","1.3",",,6,11,","-0.6",",6,18,","2209.9","6","885.2",",6","2.1",",,,6","","","-11.18",",6","-8.48",",,,6","-13.87",",,,6","","","","","","","","","","","",""
"USW00026627","1944-12","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","0.0",",6","6",",6","0",",6","0",",6","27",",","","","12",",6","31",",6","25",",6","0",",6","0",",6","","","","","19441210","+,,6","19441217","+,,6","","","","","19441211",",,6","19441221","+,,6","-32.2",",6,10,+","76",",,6,17,+","","","2.0",",,6,11,","4.4",",6,21,+","3157.3","6","947.4",",6","4.4",",,,6","","","-12.23",",6","-9.47",",,,6","-14.99",",,,6","","","","","","","","","","","",""
"USW00026627","1945-01","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0",",6","7",",6","0",",6","0",",6","31",",","","","3",",6","31",",6","26",",6","0",",6","0",",6","","","","","19450114",",,6","19450130","+,,6","","","","","19450127",",,6","19450128",",,6","-29.4",",6,14,","102",",,6,30,+","","","2.0",",,6,27,","5.0",",6,28,","4002.2","6","844.9",",6","4.7",",,,6","","","-8.92",",6","-5.94",",,,6","-11.91",",,,6","","","","","","","","","","","",""
"USW00026627","1945-02","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0","1,6","7",",6","1",",6","0",",6","28",",","","","12","1,6","26","1,6","23","1,6","0","1,6","0","1,6","","","","","19450212",",1,6","19450227","+,,6","","","","","19450227",",,6","19450227","+,1,6","-36.7","1,6,12,","76",",,6,27,+","","","3.6",",,6,27,","4.4","1,6,27,+","4851.4","6","849.2","1,6","6.2",",,,6","","","-13.12","1,6","-8.77","1,,,6","-17.47","1,,,6","","","","","","","","","","","",""
"USW00026627","1945-03","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0",",6","5",",6","0",",6","0",",6","31",",","","","19",",6","31",",6","27",",6","0",",6","0",",6","","","","","19450311",",,6","19450331","+,,6","","","","","19450304",",,6","19450303","+,,6","-33.3",",6,11,","76",",,6,31,+","","","1.0",",,6,04,","2.8",",6,03,+","5874.4","6","1023.0",",6","2.4",",,,6","","","-14.67",",6","-10.07",",,,6","-19.26",",,,6","","","","","","","","","","","",""
"USW00026627","1945-04","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0",",6","6",",6","1",",6","0",",6","29","1,6","1",",6","5",",6","30",",6","19",",6","0",",6","0",",6","","","","","19450404",",,6","19450417","+,1,6","19450412",",,6","","","19450412",",,6","19450422",",,6","-25.0",",6,04,","127","1,,6,17,+","66",",,6,12,","6.4",",,6,12,","3.9",",6,22,","6637.7","6","763.3",",6","8.6",",,,6","88",",,,6","-7.11",",6","-2.30",",,,6","-11.92",",,,6","","","","","","","","","","","",""
"USW00026627","1945-05","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0",",6","7",",6","5",",6","0",",6","9",",6","1",",6","3",",6","25",",6","7",",6","0",",6","0",",6","","","","","19450502",",,6","19450525","+,,6","19450525",",,6","","","19450521",",,6","19450518",",,6","-23.9",",6,02,","51",",,6,25,+","46",",,6,25,","13.2",",,6,21,","16.1",",6,18,","7234.8","6","597.1",",6","28.5",",,,6","57",",,,6","-0.93",",6","3.92",",,,6","-5.78",",,,6","","","","","","","","","","","",""
"USW00026627","1945-06","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0",",6","9",",6","2",",6","0",",6","0",",6","0",",6","0",",6","8",",6","0",",6","0",",6","0",",6","","","","","19450604",",,6","19450630","+,,6","19450603","+,,6","","","19450627",",,6","19450606",",,6","-3.3",",6,04,","0",",,6,30,+","0",",T,6,03,+","5.1",",,6,27,","20.6",",6,06,","7624.7","6","389.9",",6","11.8",",,,6","0",",T,,6","5.34",",6","8.83",",,,6","1.84",",,,6","","","","","","","","","","","",""
"USW00026627","1945-07","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0",",6","13",",6","3",",6","0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","2",",6","0",",6","","","","","19450725",",,6","19450731","+,,6","19450731","+,,6","","","19450728",",,6","19450710",",,6","2.8",",6,25,","0",",,6,31,+","0",",,6,31,+","11.4",",,6,28,","23.9",",6,10,","190.8","6","190.8",",6","30.7",",,,6","0",",,,6","12.18",",6","15.70",",,,6","8.66",",,,6","","","","","","","","","","","",""
"USW00026627","1945-08","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0",",6","24",",6","15",",6","0",",6","0",",6","0",",6","0",",6","1",",6","0",",6","0",",6","0",",6","","","","","19450806",",,6","19450831","+,,6","19450831","+,,6","","","19450829",",,6","19450801",",,6","0.0",",6,06,","0",",,6,31,+","0",",,6,31,+","13.2",",,6,29,","16.7",",6,01,","458.9","6","268.1",",6","123.9",",,,6","0",",,,6","9.69",",6","12.93",",,,6","6.45",",,,6","","","","","","","","","","","",""
"USW00026627","1945-09","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0",",6","18",",6","9",",6","0",",6","0",",6","0",",6","0",",6","9",",6","0",",6","0",",6","0",",6","","","","","19450917",",,6","19450930","+,,6","19450930","+,,6","","","19450920",",,6","19450902",",,6","-3.3",",6,17,","0",",,6,30,+","0",",,6,30,+","20.1",",,6,20,","15.6",",6,02,","810.6","6","351.7",",6","82.0",",,,6","0",",,,6","6.61",",6","10.75",",,,6","2.47",",,,6","","","","","","","","","","","",""
"USW00026627","1945-10","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0",",6","18",",6","4",",6","0",",6","18",",6","5",",6","0",",6","27",",6","11",",6","0",",6","0",",6","","","","","19451015",",,6","19451031","+,,6","19451014",",,6","","","19451028",",,6","19451001",",,6","-15.6",",6,15,","203",",,6,31,+","213",",,6,14,","16.5",",,6,28,","10.0",",6,01,","1447.8","6","637.2",",6","46.1",",,,6","488",",,,6","-2.22",",6","1.30",",,,6","-5.74",",,,6","","","","","","","","","","","",""
"USW00026627","1945-11","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0","2,6","8",",6","3",",6","0",",6","","","","","19","1,6","28","1,6","24","1,6","0","1,6","0","1,6","","","","","19451129",",1,6","","","","","","","19451107",",,6","19451107","+,1,6","-37.8","1,6,29,","","","","","5.8",",,6,07,","1.7","1,6,07,+","2411.4","6","963.6","1,6","18.0",",,,6","","","-15.88","2,6","-12.60","1,,,6","-19.16","1,,,6","","","","","","","","","","","",""
"USW00026627","1945-12","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","","","","","","","","","","","","","","","19","3,6","28","3,6","27","3,6","0","3,6","0","3,6","","","","","19451230",",3,6","","","","","","","","","19451212",",3,6","-40.0","3,6,30,","","","","","","","1.1","3,6,12,","","","","","","","","","-17.03","6,6","-13.18","3,,,6","-20.87","3,,,6","","","","","","","","","","","",""
"USW00026627","1946-01","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0","1,6","","","","","","","","","","","7","1,6","30","1,6","31",",6","0",",6","0",",6","","","","","19460107",",1,6","","","","","","","","","19460118",",,6","-38.3","1,6,07,","","","","","","","-2.8",",6,18,","","","943.0",",6","","","","","-13.07","1,6","-10.49",",,,6","-15.66","1,,,6","","","","","","","","","","","",""
"USW00026627","1946-02","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0","3,6","","","","","","","","","","","16","1,6","27","1,6","26","2,6","0","2,6","0","2,6","","","","","19460207",",1,6","","","","","","","","","19460212",",2,6","-38.9","1,6,07,","","","","","","","-1.7","2,6,12,","","","912.5","2,6","","","","","-17.98","3,6","-14.49","2,,,6","-21.46","1,,,6","","","","","","","","","","","",""
"USW00026627","1946-03","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0","1,6","","","","","","","","","","","24","1,6","30","1,6","30",",6","0",",6","0",",6","","","","","19460315",",1,6","","","","","","","","","19460330",",,6","-37.2","1,6,15,","","","","","","","1.7",",6,30,","","","1144.4",",6","","","","","-19.82","1,6","-14.55",",,,6","-25.09","1,,,6","","","","","","","","","","","",""
"USW00026627","1946-04","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0","2,6","","","","","","","","","","","7","1,6","29","1,6","17","1,6","0","1,6","0","1,6","","","","","19460402",",1,6","","","","","","","","","19460426",",1,6","-26.7","1,6,02,","","","","","","","7.2","1,6,26,","","","710.3","1,6","","","","","-6.97","2,6","-2.53","1,,,6","-11.42","1,,,6","","","","","","","","","","","",""
"USW00026627","1946-05","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.0","6","0.0","4,6","","","","","","","","","","","0","2,6","10","2,6","1","2,6","0","2,6","0","2,6","","","","","19460507",",2,6","","","","","","","","","19460531",",2,6","-11.7","2,6,07,","","","","","","","20.6","2,6,31,","","","377.7","2,6","","","","","4.31","4,6","7.93","2,,,6","0.69","2,,,6","","","","","","","","","","","",""
"USW00026627","1946-06","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","0.8","6","0.8",",6","","","","","","","","","","","0",",6","1",",6","0",",6","5",",6","0",",6","","","","","19460611",",,6","","","","","","","","","19460620",",,6","-0.6",",6,11,","","","","","","","24.4",",6,20,","","","230.7",",6","","","","","10.67",",6","14.87",",,,6","6.47",",,,6","","","","","","","","","","","",""
"USW00026627","1946-07","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","1.9","6","1.1",",6","","","","","","","","","","","0",",6","0",",6","0",",6","6",",6","0",",6","","","","","19460707",",,6","","","","","","","","","19460708",",,6","5.6",",6,07,","","","","","","","26.1",",6,08,","123.9","6","123.9",",6","","","","","14.37",",6","18.44",",,,6","10.31",",,,6","","","","","","","","","","","",""
"USW00026627","1946-08","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","1.9","6","0.0",",6","","","","","","","","","","","0",",6","1",",6","0",",6","1",",6","0",",6","","","","","19460805",",,6","","","","","","","","","19460809",",,6","0.0",",6,05,","","","","","","","22.2",",6,09,","373.4","6","249.5",",6","","","","","10.29",",6","13.69",",,,6","6.88",",,,6","","","","","","","","","","","",""
"USW00026627","1946-09","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","1.9","6","0.0",",6","","","","","","","","","","","0",",6","8",",6","0",",6","0",",6","0",",6","","","","","19460927",",,6","","","","","","","","","19460917","+,,6","-7.8",",6,27,","","","","","","","15.6",",6,17,+","738.0","6","364.6",",6","","","","","6.18",",6","9.52",",,,6","2.84",",,,6","","","","","","","","","","","",""
"USW00026627","1946-10","63.88333","-160.8","5.5","UNALAKLEET FIELD, AK US","1.9","6","0.0",",6","16",",6","7",",6","0",",6","","","","","0",",6","22",",6","4",",6","0",",6","0",",6","","","","","19461031",",,6","","","","","","","19461029",",,6","19461004",",,6","-8.9",",6,31,","","","","","13.5",",,6,29,","8.9",",6,04,","1264.3","6","526.3",",6","49.4",",,,6","","","1.35",",6","3.66",",,,6","-0.95",",,,6","","","","","","","","","","","",""
