"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USC00507442","1943-04","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0","1,6","2",",6","0",",6","0",",6","30",",6","0",",6","20","1,6","29","1,6","27","1,6","0","1,6","0","1,6","","","","","19430405","+,1,6","19430430","+,,6","19430411",",,6","","","19430411",",,6","19430430",",1,6","-42.8","1,6,05,+","203",",,6,30,+","8",",,6,11,","0.8",",,6,11,","5.0","1,6,30,","","","1044.9","1,6","1.1",",,,6","11",",,,6","-17.70","1,6","-11.53","1,,,6","-23.86","1,,,6","","","","","","","",""
"USC00507442","1943-05","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","3",",6","0",",6","0",",6","31",",6","0",",6","0",",6","29",",6","4",",6","0",",6","0",",6","","","","","19430503",",,6","19430506","+,,6","19430509",",,6","","","19430509",",,6","19430531",",,6","-9.4",",6,03,","203",",,6,06,+","23",",,6,09,","2.3",",,6,09,","12.8",",6,31,","","","569.1",",6","5.8",",,,6","58",",,,6","-0.02",",6","3.47",",,,6","-3.52",",,,6","","","","","","","",""
"USC00507442","1943-06","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0","4,6","6",",6","1",",6","0",",6","","","0",",6","0","2,6","10","2,6","0","2,6","0","2,6","0","2,6","","","","","19430623",",2,6","","","19430630","+,,6","","","19430612",",,6","19430610","+,2,6","-1.7","2,6,23,","","","0",",,6,30,+","5.3",",,6,12,","20.0","2,6,10,+","","","312.0","2,6","12.6",",,,6","0",",,,6","6.18","4,6","10.55","2,,,6","1.80","2,,,6","","","","","","","",""
"USC00507442","1943-07","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0","5,6","11",",6","4",",6","0",",6","","","","","0","4,6","2","4,6","0","1,6","0","1,6","0","1,6","","","","","19430712",",4,6","","","","","","","19430718",",,6","19430724",",1,6","-1.7","4,6,12,","","","","","12.7",",,6,18,","20.6","1,6,24,","236.6","6","236.6","1,6","30.8",",,,6","","","9.05","5,6","12.51","1,,,6","5.59","4,,,6","","","","","","","",""
"USC00507442","1943-08","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0","4,6","16",",6","9",",6","0",",6","","","","","0","4,6","2","4,6","0",",6","0",",6","0",",6","","","","","19430819","+,4,6","","","","","","","19430822",",,6","19430804",",,6","0.0","4,6,19,+","","","","","16.0",",,6,22,","18.3",",6,04,","553.7","6","317.1",",6","67.7",",,,6","","","6.62","4,6","9.16",",,,6","4.08","4,,,6","","","","","","","",""
"USC00507442","1943-09","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","","","4",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","19430923","+,,6","","","","","","","","","0.8",",,6,23,+","","","","","","","2.2",",,,6","","","","","","","","","","","","","","","",""
"USC00507442","1943-10","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","","","2",",6","0",",6","0",",6","","","2",",6","","","","","","","","","","","","","","","","","","","19431030","+,,6","","","19431030","+,,6","","","","","","","25",",,6,30,+","0.3",",,6,30,+","","","","","","","0.6",",,,6","50",",,,6","","","","","","","","","","","","","",""
"USC00507442","1943-11","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","6",",6","1",",6","0",",6","30",",6","1","1,6","13",",6","30",",6","30",",6","0",",6","0",",6","","","","","19431111",",,6","19431130","+,,6","19431106",",1,6","","","19431106",",,6","19431107",",,6","-26.1",",6,11,","127",",,6,30,+","38","1,,6,06,","3.6",",,6,06,","0.0",",6,07,","","","935.3",",6","5.6",",,,6","71","1,,,6","-12.84",",6","-9.47",",,,6","-16.22",",,,6","","","","","","","",""
"USC00507442","1943-12","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0","4,6","5",",6","0",",6","0",",6","31",",6","3",",6","28","3,6","28","3,6","29","2,6","0","2,6","0","2,6","","","","","19431224",",3,6","19431231","+,,6","19431229","+,,6","","","19431229",",,6","19431227","+,2,6","-36.7","3,6,24,","203",",,6,31,+","25",",,6,29,+","1.3",",,6,29,","-16.7","2,6,27,+","","","1147.8","2,6","3.5",",,,6","101",",,,6","-24.15","4,6","-20.92","2,,,6","-27.38","3,,,6","","","","","","","",""
"USC00507442","1944-01","69.73288","-163.00533","3.2","POINT LAY, AK US","","","0.0","6","0.0","4,6","8",",6","0",",6","0",",6","","","0",",6","28","3,6","28","3,6","30","1,6","0","1,6","0","1,6","","","","","19440131",",3,6","","","19440119","+,,6","","","19440119","+,,6","19440114",",1,6","-41.7","3,6,31,","","","15",",,6,19,+","0.8",",,6,19,+","-10.6","1,6,14,","","","1252.2","1,6","3.4",",,,6","78",",,,6","-27.79","4,6","-24.55","1,,,6","-31.03","3,,,6","","","","","","","",""
"USC00507442","1944-02","69.73288","-163.00533","3.2","POINT LAY, AK US","","","0.0","6","0.0",",6","11",",6","0",",6","0",",6","","","2",",6","25",",6","29",",6","28",",6","0",",6","0",",6","","","","","19440201",",,6","","","19440220","+,,6","","","19440220",",,6","19440218",",,6","-39.4",",6,01,","","","25",",,6,20,+","1.8",",,6,20,","1.7",",6,18,","","","1178.2",",6","7.1",",,,6","135",",,,6","-22.29",",6","-18.10",",,,6","-26.49",",,,6","","","","","","","",""
"USC00507442","1944-03","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","","","6",",6","0",",6","0",",6","","","0",",6","24","5,6","26","5,6","28","3,6","0","3,6","0","3,6","","","","","19440329",",5,6","","","19440310",",,6","","","19440310",",,6","19440302",",3,6","-37.2","5,6,29,","","","15",",,6,10,","0.8",",,6,10,","-0.6","3,6,02,","","","","","2.5",",,,6","45",",,,6","-22.66","8,6","-18.91","3,,,6","-26.40","5,,,6","","","","","","","",""
"USC00507442","1944-04","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0","2,6","5",",6","0",",6","0",",6","","","0",",6","21","2,6","28","2,6","28","2,6","0","2,6","0","2,6","","","","","19440404",",2,6","","","19440405",",,6","","","19440418","+,,6","19440427",",2,6","-33.9","2,6,04,","","","8",",,6,05,","0.5",",,6,18,+","-2.2","2,6,27,","","","978.2","2,6","2.1",",,,6","28",",,,6","-16.60","2,6","-12.48","2,,,6","-20.73","2,,,6","","","","","","","",""
"USC00507442","1944-05","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","8","1,6","0","1,6","0","1,6","","","0",",6","1",",6","26",",6","18",",6","0",",6","0",",6","","","","","19440506",",,6","","","19440502",",,6","","","19440530",",1,6","19440530",",,6","-20.0",",6,06,","","","10",",,6,02,","2.0","1,,6,30,","6.1",",6,30,","","","711.4",",6","5.5","1,,,6","25",",,,6","-4.61",",6","-2.49",",,,6","-6.74",",,,6","","","","","","","",""
"USC00507442","1944-06","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","8",",6","6",",6","0",",6","","","0",",6","0",",6","2",",6","0",",6","0",",6","0",",6","","","","","19440605","+,,6","","","19440630","+,,6","","","19440619",",,6","19440626",",,6","0.0",",6,05,+","","","0",",,6,30,+","8.1",",,6,19,","17.8",",6,26,","","","381.8",",6","25.7",",,,6","0",",,,6","5.61",",6","8.63",",,,6","2.58",",,,6","","","","","","","",""
"USC00507442","1944-07","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","","","","","","","","","0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","","","","","19440716","+,,6","","","19440731","+,,6","","","","","19440730",",,6","1.1",",6,16,+","","","0",",,6,31,+","","","18.9",",6,30,","327.6","6","327.6",",6","","","0",",,,6","7.77",",6","10.89",",,,6","4.64",",,,6","","","","","","","",""
"USC00507442","1944-08","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","","","","","","","","","0",",6","0",",6","3",",6","0",",6","0",",6","0",",6","","","","","19440824",",,6","","","19440831","+,,6","","","","","19440818",",,6","-1.1",",6,24,","","","0",",,6,31,+","","","11.7",",6,18,","725.2","6","397.6",",6","","","0",",,,6","5.51",",6","7.43",",,,6","3.59",",,,6","","","","","","","",""
"USC00507442","1944-09","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","","","","","","","","","1","4,6","","","","","","","","","","","","","","","","","","","19440914",",4,6","","","","","","","","","","","254","4,,6,14,","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00507442","1944-10","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0","4,6","","","","","","","","","2",",6","4","2,6","28","2,6","23","2,6","0","2,6","0","2,6","","","","","19441027",",2,6","","","19441022","+,,6","","","","","19441003",",2,6","-21.1","2,6,27,","","","25",",,6,22,+","","","3.9","2,6,03,","","","624.7","2,6","","","76",",,,6","-5.21","4,6","-2.91","2,,,6","-7.51","2,,,6","","","","","","","",""
"USC00507442","1944-11","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","","","3",",6","0",",6","0",",6","30",",6","0",",6","17","5,6","25","5,6","25","5,6","0","5,6","0","5,6","","","","","19441127",",5,6","19441130","+,,6","19441130","+,,6","","","19441129","+,,6","19441101",",5,6","-34.4","5,6,27,","152",",,6,30,+","0",",T,6,30,+","0.3",",,6,29,+","-5.0","5,6,01,","","","","","0.9",",,,6","0",",T,,6","-19.27","9,6","-16.47","5,,,6","-22.07","5,,,6","","","","","","","",""
"USC00507442","1944-12","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","","","5",",6","0",",6","0",",6","31",",6","0",",6","25","4,6","27","4,6","27","4,6","0","4,6","0","4,6","","","","","19441209",",4,6","19441231","+,,6","19441217",",,6","","","19441217",",,6","19441221",",4,6","-35.0","4,6,09,","178",",,6,31,+","13",",,6,17,","1.8",",,6,17,","0.0","4,6,21,","","","","","4.0",",,,6","13",",,,6","-22.09","7,6","-18.52","4,,,6","-25.66","4,,,6","","","","","","","",""
"USC00507442","1945-01","69.73288","-163.00533","3.2","POINT LAY, AK US","","","0.0","","0.0",",6","3",",6","2",",6","0",",6","31",",6","1",",6","31",",6","31",",6","31",",6","0",",6","0",",6","","","","","19450111",",,6","19450131",",,6","19450109",",,6","","","19450109",",,6","19450131",",,6","-47.2",",6,11,","254",",,6,31,","64",",,6,09,","4.8",",,6,09,","-8.9",",6,31,","","","1456.9",",6","8.1",",,,6","80",",,,6","-28.66",",6","-24.09",",,,6","-33.24",",,,6","","","","","","","",""
"USC00507442","1945-02","69.73288","-163.00533","3.2","POINT LAY, AK US","","","0.0","","0.0","2,6","7","3,6","0","3,6","0","3,6","28",",6","2",",6","25","2,6","26","2,6","28",",6","0",",6","0",",6","","","","","19450219",",2,6","19450228",",,6","19450228",",,6","","","19450225",",3,6","19450227",",,6","-46.7","2,6,19,","330",",,6,28,","38",",,6,28,","0.8","3,,6,25,","0.0",",6,27,","","","1243.3",",6","3.2","3,,,6","69",",,,6","-29.68","2,6","-24.72",",,,6","-34.64","2,,,6","","","","","","","",""
"USC00507442","1945-03","69.73288","-163.00533","3.2","POINT LAY, AK US","","","0.0","","0.0",",6","4",",6","0",",6","0",",6","31",",","","","31",",6","31",",6","31",",6","0",",6","0",",6","","","","","19450318",",,6","19450331","+,,6","","","","","19450323",",,6","19450301",",,6","-42.8",",6,18,","330",",,6,31,+","","","0.8",",,6,23,","-12.2",",6,01,","","","1527.1",",6","2.1",",,,6","","","-30.93",",6","-25.84",",,,6","-36.02",",,,6","","","","","","","",""
"USC00507442","1945-04","69.73288","-163.00533","3.2","POINT LAY, AK US","","","0.0","","0.0","2,6","","","","","","","29","1,","","","13","2,6","28","2,6","27","2,6","0","2,6","0","2,6","","","","","19450404",",2,6","19450430","+,1,6","","","","","","","19450422",",2,6","-36.7","2,6,04,","381","1,,6,30,+","","","","","1.1","2,6,22,","","","848.4","2,6","","","","","-11.97","2,6","-6.65","2,,,6","-17.29","2,,,6","","","","","","","",""
"USC00507442","1945-05","69.73288","-163.00533","3.2","POINT LAY, AK US","","","0.0","","0.0",",6","5",",6","0",",6","0",",6","31",",6","0",",6","4",",6","31",",6","24",",6","0",",6","0",",6","","","","","19450505",",,6","19450520","+,,6","19450526",",,6","","","19450501",",,6","19450518",",,6","-22.2",",6,05,","381",",,6,20,+","10",",,6,26,","0.8",",,6,01,","6.1",",6,18,","","","798.0",",6","2.0",",,,6","15",",,,6","-7.41",",6","-3.38",",,,6","-11.43",",,,6","","","","","","","",""
"USC00507442","1945-06","69.73288","-163.00533","3.2","POINT LAY, AK US","","","0.0","","0.0",",6","9",",6","0",",6","0",",6","27",",6","0",",6","0",",6","29",",6","9",",6","0",",6","0",",6","","","","","19450601",",,6","19450605","+,,6","19450604",",,6","","","19450626",",,6","19450624",",,6","-8.3",",6,01,","381",",,6,05,+","13",",,6,04,","2.0",",,6,26,","7.2",",6,24,","","","577.6",",6","10.3",",,,6","13",",,,6","-0.92",",6","2.53",",,,6","-4.37",",,,6","","","","","","","",""
"USC00507442","1945-08","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","","","14",",6","7",",6","0",",6","0",",6","0",",6","0","3,6","7","3,6","0","3,6","0","3,6","0","3,6","","","","","19450805",",3,6","19450831","+,,6","19450829","+,,6","","","19450825",",,6","19450818",",3,6","-2.8","3,6,05,","0",",,6,31,+","0",",T,6,29,+","6.4",",,6,25,","12.2","3,6,18,","","","","","35.6",",,,6","0",",T,,6","4.47","6,6","7.01","3,,,6","1.93","3,,,6","","","","","","","",""
"USC00507442","1946-03","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","10",",6","0",",6","0",",6","31",",6","0",",6","31",",6","31",",6","31",",6","0",",6","0",",6","","","","","19460317",",,6","19460331","+,,6","19460315",",,6","","","19460316",",,6","19460306",",,6","-40.6",",6,17,","356",",,6,31,+","18",",,6,15,","2.0",",,6,16,","-8.9",",6,06,","","","1357.0",",6","12.7",",,,6","108",",,,6","-25.44",",6","-20.74",",,,6","-30.14",",,,6","","","","","","","",""
"USC00507442","1946-04","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0","3,6","1",",6","0",",6","0",",6","30",",6","0",",6","27","2,6","28","2,6","29","1,6","0","1,6","0","1,6","","","","","19460403",",2,6","19460424","+,,6","19460401",",,6","","","19460401",",,6","19460430","+,1,6","-33.9","2,6,03,","279",",,6,24,+","8",",,6,01,","0.8",",,6,01,","-13.3","1,6,30,+","","","1106.2","1,6","0.8",",,,6","8",",,,6","-22.65","3,6","-18.34","1,,,6","-26.97","2,,,6","","","","","","","",""
"USC00507442","1946-05","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","5",",6","1",",6","0",",6","31",",6","0",",6","1",",6","31",",6","26",",6","0",",6","0",",6","","","","","19460501",",,6","19460502","+,,6","19460516",",,6","","","19460505",",,6","19460503",",,6","-21.1",",6,01,","229",",,6,02,+","8",",,6,16,","2.5",",,6,05,","5.6",",6,03,","","","750.7",",6","5.6",",,,6","8",",,,6","-5.88",",6","-2.31",",,,6","-9.46",",,,6","","","","","","","",""
"USC00507442","1946-06","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","14",",6","4",",6","0",",6","","","","","0",",6","11",",6","2",",6","0",",6","0",",6","","","","","19460601",",,6","","","","","","","19460623",",,6","19460622","+,,6","-8.3",",6,01,","","","","","6.1",",,6,23,","19.4",",6,22,+","","","421.5",",6","25.2",",,,6","","","4.28",",6","7.96",",,,6","0.60",",,,6","","","","","","","",""
"USC00507442","1946-07","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","9",",6","3",",6","0",",6","","","0",",6","0",",6","4",",6","0",",6","2",",6","0",",6","","","","","19460719",",,6","","","19460731","+,,6","","","19460706",",,6","19460711",",,6","-1.1",",6,19,","","","0",",,6,31,+","9.9",",,6,06,","25.0",",6,11,","339.8","6","339.8",",6","24.8",",,,6","0",",,,6","7.37",",6","11.46",",,,6","3.28",",,,6","","","","","","","",""
"USC00507442","1946-08","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","23",",6","14",",6","1",",6","","","0",",6","0",",6","2",",6","0",",6","0",",6","0",",6","","","","","19460801",",,6","","","19460821","+,,6","","","19460820",",,6","19460811",",,6","-0.6",",6,01,","","","0",",T,6,21,+","39.1",",,6,20,","16.1",",6,11,","744.3","6","404.5",",6","158.7",",,,6","0",",T,,6","5.29",",6","8.02",",,,6","2.55",",,,6","","","","","","","",""
"USC00507442","1946-09","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","10",",6","3",",6","0",",6","","","","","0",",6","23",",6","10",",6","0",",6","0",",6","","","","","19460930",",,6","","","","","","","19460928",",,6","19460901",",,6","-15.0",",6,30,","","","","","5.1",",,6,28,","8.3",",6,01,","1314.7","6","570.4",",6","19.2",",,,6","","","-0.68",",6","2.07",",,,6","-3.44",",,,6","","","","","","","",""
"USC00507442","1946-10","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","10",",6","4",",6","0",",6","","","6",",6","0",",6","31",",6","27",",6","0",",6","0",",6","","","","","19461003",",,6","","","19461030",",,6","","","19461030",",,6","19461027",",,6","-16.1",",6,03,","","","76",",,6,30,","7.9",",,6,30,","3.9",",6,27,","2102.8","6","788.1",",6","36.3",",,,6","250",",,,6","-7.09",",6","-4.29",",,,6","-9.88",",,,6","","","","","","","",""
"USC00507442","1946-11","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0","1,6","10",",6","1",",6","0",",6","30",",","","","14","1,6","29","1,6","27",",6","0",",6","0",",6","","","","","19461108",",1,6","19461114","+,,6","","","","","19461115",",,6","19461119","+,,6","-27.2","1,6,08,","178",",,6,14,+","","","2.8",",,6,15,","1.7",",6,19,+","2994.1","6","891.3",",6","13.3",",,,6","","","-12.40","1,6","-7.04",",,,6","-17.77","1,,,6","","","","","","","",""
"USC00507442","1946-12","69.73288","-163.00533","3.2","POINT LAY, AK US","","","","","0.0",",6","7",",6","1",",6","0",",6","31",",6","1",",6","29",",6","31",",6","31",",6","0",",6","0",",6","","","","","19461217",",,6","19461231",",,6","19461231",",,6","","","19461231",",,6","19461231",",,6","-38.3",",6,17,","203",",,6,31,","61",",,6,31,","4.8",",,6,31,","-6.1",",6,31,","4387.0","6","1392.9",",6","10.7",",,,6","115",",,,6","-26.60",",6","-22.89",",,,6","-30.31",",,,6","","","","","","","",""
"USC00507442","1947-01","69.73288","-163.00533","3.2","POINT LAY, AK US","","","0.0","6","0.0","2,6","6",",6","1",",6","0",",6","31",",6","1",",6","26","1,6","30","1,6","30","1,6","0","1,6","0","1,6","","","","","19470119",",1,6","19470131","+,,6","19470101",",,6","","","19470101",",,6","19470104",",1,6","-41.1","1,6,19,","229",",,6,31,+","28",",,6,01,","2.8",",,6,01,","-4.4","1,6,04,","5677.9","6","1290.9","1,6","8.1",",,,6","76",",,,6","-26.47","2,6","-23.17","1,,,6","-29.78","1,,,6","","","","","","","",""
"USC00507442","1947-02","69.73288","-163.00533","3.2","POINT LAY, AK US","","","0.0","6","0.0","2,6","2",",6","1",",6","0",",6","28",",6","1",",6","26","1,6","27","1,6","27","1,6","0","1,6","0","1,6","","","","","19470204",",1,6","19470228","+,,6","19470227",",,6","","","19470227",",,6","19470227",",1,6","-46.7","1,6,04,","229",",,6,28,+","38",",,6,27,","3.8",",,6,27,","-2.2","1,6,27,","6859.7","6","1181.8","1,6","4.6",",,,6","38",",,,6","-26.92","2,6","-23.38","1,,,6","-30.45","1,,,6","","","","","","","",""
