"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00003816","1950-08","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","564.1","0","127.7",",0","16",",0","11",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","23","","","","19500821",",,0","19500831","+,,0","19500831","+,,0","11","","19500831",",,0","19500801",",,0","10.0",",0,21,","0",",,0,31,+","0",",,0,31,+","54.4",",,0,31,","32.2",",0,01,","2.0","0","","","","","2.0",",0","","","","","","","","","","","","","","","","","","","","","193.3",",,,0","","","","","","","","","0",",,,0","22.39",",0","27.52",",,,0","17.25",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1950-09","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","627.0","0","62.9",",0","13",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","21","","","","19500925",",,0","19500930","+,,0","19500930","+,,0","2","","19500903",",,0","19500919",",,0","3.3",",0,25,","0",",,0,30,+","0",",,0,30,+","39.4",",,0,03,","30.6",",0,19,","24.2","0","","","","","22.2",",0","","","","","","","","","","","","","","","","","","","","","94.7",",,,0","","","","","","","","","0",",,,0","19.69",",0","24.59",",,,0","14.78",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1950-10","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","671.6","0","44.6",",0","5",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","12","","","","19501005",",,0","19501031","+,,0","19501031","+,,0","","","19501022",",,0","19501016","+,,0","2.8",",0,05,","0",",,0,31,+","0",",,0,31,+","36.8",",,0,22,","30.6",",0,16,+","74.1","0","","","","","49.9",",0","","","","","","","","","","","","","","","","","","","","","59.7",",,,0","","","","","","","","","0",",,,0","18.16",",0","24.89",",,,0","11.43",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1950-11","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","675.5","0","3.9",",0","14",",0","10",",0","1",",0","4",",0","1",",0","2",",0","19",",0","2",",0","1",",0","0",",0","7","","","","19501125",",,0","19501127","+,,0","19501123",",,0","7","","19501120",",,0","19501101",",,0","-19.4",",0,25,","25",",,0,27,+","33",",,0,23,","31.8",",,0,20,","27.8",",0,01,","481.7","0","","","","","407.6",",0","","","","","","","","","","","","","","","","","","","","","140.0",",,,0","","","","","","","","","33",",,,0","4.88",",0","10.82",",,,0","-1.06",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1950-12","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","675.5","0","0.0",",0","6",",0","4",",0","0",",0","7",",0","2",",0","0",",0","28",",0","8",",0","1",",0","0",",0","8","","","","19501228","+,,0","19501212","+,,0","19501206",",,0","1","","19501206",",,0","19501202",",,0","-12.2",",0,28,+","51",",,0,12,+","46",",,0,06,","18.8",",,0,06,","22.2",",0,02,","1049.0","0","","","","","567.3",",0","","","","","","","","","","","","","","","","","","","","","41.4",",,,0","","","","","","","","","71",",,,0","0.03",",0","5.37",",,,0","-5.31",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1951-01","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","0.0","0","0.0",",0","12",",0","8",",0","2",",0","3",",0","3",",0","0",",0","21",",0","5",",0","0",",0","0",",0","12","","","","19510130",",,0","19510131",",,0","19510131",",,0","2","","19510114",",,0","19510120",",,0","-15.0",",0,30,","102",",,0,31,","94",",,0,31,","69.6",",,0,14,","20.6",",0,20,","1539.8","0","","","","","490.8",",0","","","","","","","","","","","","","","","","","","","","","192.7",",,,0","","","","","","","","","239",",,,0","2.50",",0","7.66",",,,0","-2.66",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1951-02","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","0.0","0","0.0",",0","9",",0","6",",0","1",",0","5",",0","0",",0","2",",0","14",",0","6",",0","1",",0","0",",0","17","","","","19510202",",,0","19510203","+,,0","19510201",",,0","1","","19510220",",,0","19510225",",,0","-25.6",",0,02,","102",",,0,03,+","18",",,0,01,","69.9",",,0,20,","21.7",",0,25,","1957.0","0","","","","","417.2",",0","","","","","","","","","","","","","","","","","","","","","123.8",",,,0","","","","","","","","","18",",,,0","3.43",",0","8.99",",,,0","-2.13",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1951-03","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","0.8","0","0.8",",0","14",",0","8",",0","1",",0","1",",0","1",",0","0",",0","14",",0","1",",0","2",",0","0",",0","14","","","","19510316",",,0","19510313",",,0","19510319",",,0","2","","19510317",",,0","19510306",",,0","-3.9",",0,16,","25",",,0,13,","38",",,0,19,","33.8",",,0,17,","25.0",",0,06,","2292.0","0","","","","","335.0",",0","","","","","","","","","","","","","","","","","","","","","87.9",",,,0","","","","","","","","","58",",,,0","7.55",",0","12.93",",,,0","2.17",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1951-04","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","20.7","0","19.9",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","10",",0","0",",0","9","","","","19510417",",,0","19510430","+,,0","19510402",",,0","4","","19510421",",,0","19510430",",,0","-1.7",",0,17,","0",",,0,30,+","0",",T,0,02,","54.1",",,0,21,","30.0",",0,30,","2499.2","0","","","","","207.2",",0","","","","","","","","","","","","","","","","","","","","","100.6",",,,0","","","","","","","","","0",",T,,0","12.09",",0","17.88",",,,0","6.30",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1951-05","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","96.2","0","75.5",",0","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","4",",0","2","","","","19510512","+,,0","19510531","+,,0","19510531","+,,0","5","","19510510",",,0","19510518",",,0","5.0",",0,12,+","0",",,0,31,+","0",",,0,31,+","23.9",",,0,10,","33.3",",0,18,","2531.3","0","","","","","32.1",",0","","","","","","","","","","","","","","","","","","","","","64.0",",,,0","","","","","","","","","0",",,,0","19.73",",0","27.06",",,,0","12.40",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1951-06","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","245.1","0","148.9","2,0","15",",0","14",",0","3",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","29","1,0","7","1,0","14","","","","19510606",",1,0","19510630","+,,0","19510630","+,,0","16","","19510628",",,0","19510601",",1,0","12.8","1,0,06,","0",",,0,30,+","0",",,0,30,+","45.2",",,0,28,","34.4","1,0,01,","2531.3","0","","","","","0.0","1,0","","","","","","","","","","","","","","","","","","","","","224.8",",,,0","","","","","","","","","0",",,,0","23.58","2,0","29.08","1,,,0","18.09","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1951-07","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","485.1","0","240.0",",0","5",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","14","","","","19510701",",,0","19510731","+,,0","19510731","+,,0","6","","19510709",",,0","19510726",",,0","15.0",",0,01,","0",",,0,31,+","0",",,0,31,+","15.7",",,0,09,","36.1",",0,26,","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","38.2",",,,0","","","","","","","","","0",",,,0","26.08",",0","31.48",",,,0","20.67",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1951-08","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","724.8","0","239.7",",0","3",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","13","","","","19510824","+,,0","19510831","+,,0","19510831","+,,0","3","","19510828",",,0","19510807",",,0","12.8",",0,24,+","0",",,0,31,+","0",",,0,31,+","39.4",",,0,28,","37.8",",0,07,","0.0","0","","","","","0.0",",0","","","","","","","","","","","","","","","","","","","","","80.1",",,,0","","","","","","","","","0",",,,0","26.06",",0","32.71",",,,0","19.42",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1951-09","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","798.1","0","73.3",",0","8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","3",",0","16","","","","19510929",",,0","19510930","+,,0","19510930","+,,0","6","","19510912",",,0","19510901",",,0","4.4",",0,29,","0",",,0,30,+","0",",,0,30,+","42.2",",,0,12,","35.6",",0,01,","23.6","0","","","","","23.6",",0","","","","","","","","","","","","","","","","","","","","","104.7",",,,0","","","","","","","","","0",",,,0","19.99",",0","26.39",",,,0","13.59",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1951-10","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","833.8","0","35.7",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","21","","","","19511020",",,0","19511031","+,,0","19511031","+,,0","3","","19511031",",,0","19511005","+,,0","1.1",",0,20,","0",",,0,31,+","0",",,0,31,+","20.8",",,0,31,","31.7",",0,05,+","137.3","0","","","","","113.7",",0","","","","","","","","","","","","","","","","","","","","","48.7",",,,0","","","","","","","","","0",",,,0","15.82",",0","22.91",",,,0","8.72",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1951-11","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","833.8","0","0.0","1,0","12",",0","7",",0","2",",0","0",",0","0",",0","0",",0","19",",0","0","1,0","2","1,0","0","1,0","11","","","","19511103",",,0","19511104","+,,0","19511118","+,,0","2","","19511123",",,0","19511113","+,1,0","-10.0",",0,03,","0",",T,0,04,+","0",",T,0,18,+","103.1",",,0,23,","21.1","1,0,13,+","541.4","0","","","","","404.1","1,0","","","","","","","","","","","","","","","","","","","","","184.2",",,,0","","","","","","","","","0",",T,,0","4.52","1,0","9.91","1,,,0","-0.87",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1951-12","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","836.0","0","2.2",",0","12",",0","9",",0","3",",0","0",",0","2",",0","0",",0","18",",0","3",",0","2",",0","0",",0","10","","","","19511216",",,0","19511219","+,,0","19511212",",,0","2","","19511203",",,0","19511231",",,0","-14.4",",0,16,","0",",T,0,19,+","36",",,0,12,","31.8",",,0,03,","25.0",",0,31,","973.1","0","","","","","431.7",",0","","","","","","","","","","","","","","","","","","","","","154.0",",,,0","","","","","","","","","61",",,,0","4.48",",0","9.27",",,,0","-0.32",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1952-01","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","0.0","0","0.0",",0","12",",0","7",",0","3",",0","0",",0","0",",0","0",",0","17",",0","4",",0","2",",0","0",",0","15","","","","19520130","+,,0","19520128",",,0","19520129","+,,0","2","","19520102",",,0","19520116",",,0","-12.2",",0,30,+","0",",T,0,28,","0",",T,0,29,+","47.8",",,0,02,","23.3",",0,16,","1392.4","0","","","","","419.3",",0","","","","","","","","","","","","","","","","","","","","","165.8",",,,0","","","","","","","","","0",",T,,0","4.81",",0","9.54",",,,0","0.07",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1952-02","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","0.0","0","0.0",",0","11",",0","8",",0","0",",0","1",",0","1",",0","0",",0","14",",0","0",",0","0",",0","0",",0","15","","","","19520217",",,0","19520216",",,0","19520216",",,0","4","","19520201",",,0","19520228","+,,0","-5.6",",0,17,","25",",,0,16,","76",",,0,16,","19.6",",,0,01,","20.0",",0,28,+","1753.5","0","","","","","361.1",",0","","","","","","","","","","","","","","","","","","","","","77.6",",,,0","","","","","","","","","76",",,,0","5.88",",0","10.88",",,,0","0.88",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1952-03","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","0.9","0","0.9",",0","13",",0","5",",0","2",",0","0",",0","0",",0","0",",0","12",",0","0",",0","5",",0","0",",0","10","","","","19520305",",,0","19520331","+,,0","19520316","+,,0","3","","19520310",",,0","19520320",",,0","-7.8",",0,05,","0",",,0,31,+","0",",T,0,16,+","93.5",",,0,10,","25.6",",0,20,","2079.9","0","","","","","326.4",",0","","","","","","","","","","","","","","","","","","","","","179.0",",,,0","","","","","","","","","0",",T,,0","7.83",",0","13.69",",,,0","1.98",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1952-04","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","10.6","0","9.7",",0","10",",0","4",",0","3",",0","0",",0","0",",0","0",",0","1",",0","0",",0","14",",0","0",",0","8","","","","19520406",",,0","19520430","+,,0","19520430","+,,0","","","19520423",",,0","19520429",",,0","0.0",",0,06,","0",",,0,30,+","0",",,0,30,+","30.2",",,0,23,","30.0",",0,29,","2238.4","0","","","","","158.5",",0","","","","","","","","","","","","","","","","","","","","","101.9",",,,0","","","","","","","","","0",",,,0","13.37",",0","19.53",",,,0","7.21",",,,0","","","","","","","","","","","","","","","","","",""
"USW00003816","1952-05","37.05635","-88.77425","124.1","PADUCAH BARKLEY REGIONAL AIRPORT, KY US","","","","","","","","","","","86.1","0","75.5",",0","13",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","2",",0","9","","","","19520511",",,0","19520531","+,,0","19520531","+,,0","8","","19520510",",,0","19520505",",,0","6.7",",0,11,","0",",,0,31,+","0",",,0,31,+","20.1",",,0,10,","32.8",",0,05,","2278.3","0","","","","","39.9",",0","","","","","","","","","","","","","","","","","","","","","75.8",",,,0","","","","","","","","","0",",,,0","19.48",",0","25.61",",,,0","13.35",",,,0","","","","","","","","","","","","","","","","","",""
